7576,"Tantos intentos de asesinato, de masacres impunes, de paramilitares confesos que lo delatan con supuestos y testimonios de ataques hacia Gustavo Petro cuando él era senador, ¿ahora para que salga con esto, álvaro uribe?. ¡No + masacres, No + Oportunismo, No + Violencia!."
7361,Alma clara y noble la suya mi presindente‼️
3531,"Porque no han dicho nada de la salida de petro del país sin autorización del congreso?, debería ser primicia, ya que debe perder la curul"
4958,El es solo un alcalde no es el presidente ni es alto funcionario de gov o nada más q esté en campaña ideológica q ella se límite a arreglar su casa. Q está bn infectada en ves de estar desde la casita o declarar la capital zona cero de esta pandemia en el país cerrarla y aislarla
6321,"Excelente noticia, espero que todos nos quedemos en casa, ahora la pregunta del millón ¿Pago de servicios, arriendo, cuotas del banco, impuestos, mercado, medicamentos? En este país son muy pocos los millonarios y demasiados los desempleados, los que se rebuscan, preocupante todo"
576,"Ud bla bla, necesitamos trabajar ud esta podrida en plata, ya el que murio murio, viejos de 80 90 o 100 años ya para que mas o dígame esos gamínea para que don útiles a la sociedad? ""a trabajar y producir y listo"
4190,Corruptos y los medios de comunicación alcahuetas de estos hampones
5750,Y así pretenden que las personas se sientan tranquilas en sus casas 🤷🏽‍♀️
6723,Se le agradece el detalle señor Álvaro Uribe Vélez.
2791,NARCO ESTADO PARACO MAFIOSO TRAQUETO GENOCIDA Y TERRORISTAS DE MIERDAAA
7632,Y tu para cuando? Queremos celebrar al doble!!! https://t.co/NSYs8wJbPW
1847,en Colombia ....cual es el porcentaje de muerte por cada recuperado?
2747,No jodas!!!!! Esto es en serio? https://t.co/cUNdyWRG7y
2241,Ver para creer
7507,"Si es cierto, es lo mismo de lo que murió popeye"
799,"Y loa trabajadores por prestacion de servicios, que quedaron desempleados de los estratos 3 y 4???"
6216,Colombia es un despelote cada día por eso lo llamamos LOCOMBIA
1830,"Departamentos cómo: Vaupés, Vichada, Putumayo, Guaviare, Guania, Caquetá, Amazonas parecierán no estar en problemas o siguen siendo aún los últimos en Colombia para recibir al estado. Esperemos que sea por lo sanos que están. Que más necesitarán?"
3282,Y cómo saber si el gobierno financiará a tu empresa? Esto también tendrá su guardado?
1905,"Me da risa sucre, cómo no hay nada allá, por eso sigue un caso..."
3561,En colombia hay muchos corazones sucios. Que tristeza.
6455,"Hablar de cuarentena inteligente, cuando el colombiano por naturaleza es folclórico e irresponsable"
1988,"Lacras, lacras es lo que son ustedes, inservibles asesinos y parásitos que se quieren pasar por víctimas, son sólo complices del ataque biológico de los miserables chinos. Demuestran su total ineptitud cuando les queda grande una solución a un gran problema en SU CAMPO"
6287,Quedarnos en casa salva vidas pero también acaba con vidas porque tarde o temprano se sucumbe ante el hambre o la desesperación.
3913,Petristas
873,No demoran en llamarlo tóxico JorgeI
3648,"El problema no es la ideología, el problema es tener gente bruta en el poder, así uno odie al partido conservador y en especial a su padre, Alvaro Gomez Hurtado hubiese sido un gran presidente. Así uno odie al liberal, las ideas de reforma de Gaitán siguen vivas."
8300,"Dr , Dios lo bendiga grandemente y lo sane, coloque a Dios por delante suyo dr y se dará cuenta como le concede todo, en este momento su salud 🙏🏻 .. bendiciones"
7742,Este debe ser el año de la reconciliación nacional.
